time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Deprecation and amortization,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Interest expense on debt,Pretax income,Equity in earnings,Taxes,Net income,Basic EPS,Diluted EPS,EBITDA,EBIT,Average basic shares outstanding,Total assets,Total current assets,Cash and short term investments,Cash & equivalents,"Total receivables, net","Accounts receivable - trade, net",Total inventory,Inventories - work in progress,Inventories - progress payments & other,Inventories - finished goods,Inventories - raw materials,Total non-current assets,Long term investments,Net property/plant/equipment,Gross property/plant/equipment,Property/plant/equipment - Buildings,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Leases,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total","Goodwill, net","Goodwill, gross",Accumulated goodwill amortization,Total liabilities,Total current liabilities,Short term debt,Long term debt,Total non-current liabilities,Total equity,Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,Shareholders&#039; equity,"Common equity, total",Retained earnings,Minority interest,Total liabilities & shareholders&#039; equities,Net debt,Total debt,Tangible book value per share,Book value per share,Cash from operating activities,Changes in working capital,Change in accounts receivable,Change in inventories,Change in other assets/liabilities,Cash from investing activities,Capital expenditures,Capital expenditures - fixed assets,Capital expenditures - other assets,"Other investing cash flow items, total",Cash from financing activities,Issuance of long term debt,Reduction of long term debt,Reduction of long term debt,Reduction of long term debt,Free cash flow
2012-01-03T07:00:00Z,23778,30138,21921,29289,807510484,NaN,58724990360235.18,-33997009690866.438,-5591501103582.334,24727980669368.746,-1178142376068.3213,23549838296373.207,-4831278106065.548,-561020177616.9562,18718560187097.953,0,-6089914681668.115,12535142142493.623,2354.6379369,2344.91322438,29141339396587.293,23549838289981.05,5323000000,105725941225279.77,16725853225330.814,4140775261838.049,3910141522189.952,6412762952414.009,3862706214035.3696,5097659926335.484,1958751086727.6526,0,1363356184373.695,1775552655234.1287,89000087999948.97,2744705071840.5024,76172108544698.8,108522988706118.19,7597009955997.159,7597009955997.159,17271359269108.396,55684962522766.56,NaN,NaN,NaN,NaN,NaN,27969656958245.945,-32350880161419.31,3357274827146.9834,3357274827146.9834,0,50860464543390.18,18020509997894.44,2887828846444.822,20281865636642.67,39569526154140.92,54865476681889.34,32839954545495.742,32839954545495.742,32839954545495.742,53871788761065.05,53871788761065.05,50899721350138.8,993687920824.2579,105725941225279.77,19028919221249.43,23169694483087.49,9335.62375695,10121.09516053,19825965233350.566,-61793526809.9836,1190338463813.3716,-169119126006.27063,-848847920916.0922,-25965477351010.918,-17120872289971.365,-16941996291310.906,-178875998660.4792,0,1957879112611.06,10803297246371.78,-3626304336480.6147,-3626304336480.6147,-3626304336480.6147,2883968945257.195
2013-01-01T07:00:00Z,30698,33041,24508,32389,722794626,NaN,58415179431211.28,-35064341857113.67,-6227421445284.462,23350837574097.613,-4570259516095.552,18780578058001.945,-2320558124975.1724,-808652507402.178,16460019931612.338,1011479916159.1328,-6116707794216.259,9940314447507.854,1867.98339924,1861.80434241,25007999509354.133,18780578061804.336,5322000000,138164567518469.44,18814992658161.16,5672393185708.495,5635662603301.912,6529109202380.95,4382851927704.4136,5778614059154.554,2337851934256.8286,0,1457310674942.2598,1983451449955.4746,119349574860308.27,7338174733769.199,98445902597189.52,146353501958251.22,10369936859977.44,10369936859977.44,23388446527002.42,80711980323913.81,NaN,NaN,NaN,NaN,NaN,31883138247357.293,-47907599361061.61,4075109210243.8525,4075109210243.8525,0,63421803194847.48,19992356732058.715,5050951440126.847,27894395541691.113,50947502365237.29,74742764323622.4,43429446462788.766,43429446462788.766,43429446462788.766,70152434241242.945,70152434241242.945,66494266777235.95,4590330082379.435,138164567518469.44,27272953796109.473,32945346981817.965,12155.21322878,13180.28259446,17850583389029.004,-410969072765.18115,918480449261.8385,-61999644598.195496,-588110914474.3116,-16521133867001.994,-21251706749844.32,-19700829925680.91,-1550876824163.4304,0,-240027195515.87155,0,0,0,0,-1850246534751.7576
2014-01-02T07:00:00Z,32500,37718,23510,24868,525046105,NaN,62088904621121.96,-34236295862310.9,-8948756715855.652,27852608758811.062,-5649716225081.831,22202892533729.16,185953877942.50705,-782100116347.2423,22478541805504.695,1296207885134.942,-7416278026341.686,15130082250790.334,2843.50684386,2834.36922387,31151649252348.863,22202892533831.18,5321000000,161083806864687.25,23720054142346.18,9365251014310.777,9365251014310.777,7509861059868.198,4915081186654.074,6397052635357.339,2610737929014.9565,0,1445799855554.7322,2340514850787.6504,137363752722341.05,8383298647366.683,114289467904734.52,172452325817193.94,14532469482617.87,14532469482617.87,16304877546896.193,106696624954702.33,NaN,NaN,NaN,NaN,NaN,34918353832978.348,-58162857912459.84,4291653140035.1733,4291653140035.1733,0,70248425505617.96,19217754665740.1,4534215588207.713,32263997218107.74,53772520203808.74,90835381359068.77,51030670839877.86,51030670839877.86,51030670839877.86,84197894016312.34,84197894016312.34,79309409589326.31,6637487342756.436,161083806864687.25,27432961792004.684,36798212806315.48,14735.81157939,15823.24500184,27744317973470.535,126886172722.07036,-381752364482.77954,-172827718017.99194,421130831879.28394,-15750293112285.217,-17941267284374.07,-16652716323455.082,-1288550960918.9534,-765692421598.6984,-8644667439849.3125,0,0,0,0,11091601646175.14
2015-01-02T07:00:00Z,24900,30139,15400,17394,633166057,NaN,49995840021545.1,-33603485896728.535,-10752757061717.719,16392354124816.57,-4363827240880.449,12028526883936.158,-3618974802970.4526,-563399666879.5859,8409552085351.745,613803215606.388,-4106209102943.4585,4552000489460.507,855.94406911,853.51850554,22781283944191.168,12028526886968.111,5318000000,151212349188794.47,19868317096414.887,8196636651725.215,8196636651725.215,6043396103796.808,5244730782186.383,5209531246735.466,0,5209531246735.466,0,0,131344032092379.6,7731760028356.236,112509853071970.23,179124367024285.22,14187840340887.94,14187840340887.94,17602195279626.68,109933004321546.67,NaN,NaN,NaN,NaN,NaN,37401327082224.29,-66614513952314.99,3973906174699.891,3973906174699.891,0,65586444761731.36,15600676867262.537,3885300447530.342,33948131276781.035,70660822937868.39,85625904427062.84,49985767894468.82,49985767894468.82,49985767894468.82,78613914209823.58,78613914209823.58,72880031262577.98,7011990217239.234,151212349188794.47,29636795072586.18,37833431724311.37,13794.74159448,14773.76255651,21613041694052.73,-209454746931.37637,1602832849512.299,169131907949.93506,-872541432403.9707,-14674153152662.92,-14295566497781.605,-13381582147535.62,-913984350246.0074,-938626085179.1104,-9329136829900.703,0,0,0,0,8231459548279.187
2016-01-04T07:00:00Z,17232,24621,13630,21868,827115787,NaN,46322455349673.64,-37124498862345.27,-12521688564372.223,9197956487328.36,-4640936989451.973,4557019497876.475,-12281924305978.318,-1461063469394.7893,-7724904804851.435,-3152900040622.202,1576450020311.0957,-9568092566241.79,-1798.1835443,-1798.1835443,17078708062844.377,4557019494471.332,5322000000,174207051756356.75,25942210072987.734,15164930862921.277,15112208746932.332,5450880991964.566,4620507665139.23,4995420489949.25,0,4995420489949.25,0,0,148264841683369.03,8965688724558.59,120490538079766.95,222017223938966.97,18196452532283.61,18196452532283.61,14003579807943.344,144528893964266.47,NaN,NaN,NaN,NaN,NaN,45288297634473.96,-101526685859200.22,4793319045325.099,4793319045325.099,0,86232878712750.55,18071969758420.91,6814333491566.662,46524338353769.56,61689503354833.516,87974173043606.55,68160908954329.63,68160908954329.63,68160908954329.63,79507879917720.64,79507879917720.64,72554418620072.05,8466293125885.848,174207051756356.75,38173740982414.95,53338671845336.24,13804.8621325,14938.22714073,15921845499815.11,310195013502.2786,2568474652864.276,789723536790.8258,-558950434958.213,-10856825472579.768,-11555138884618.762,-10408766008632.027,-1146372875986.6792,229274575197.33685,425581564418.58606,0,0,0,0,5513079487866.716
2017-01-03T07:00:00Z,22055,27684,18500,25055,557370477,NaN,48155464984694.78,-28229617123862.953,-8680910444452.791,19925847860831.832,-4376436889711.842,15549410971119.877,-1070121446173.1791,-1551209664928.317,14479289527015.574,362481983557.13226,-5920983282883.597,7849334129233.486,1475.2749674,1471.25487075,24230321410930.426,15549410970459.074,5323000000,153306638549950.94,27588538889524.914,18584528666841.902,18543911042147.008,3971355498392.3896,3715857536602.056,4812533403363.661,NaN,0,NaN,NaN,125718099660426.03,5938034681199.051,103597217153213.95,203681664893299.9,16230016680497.049,16230016680497.049,7256142114845.613,139321073195334.69,NaN,NaN,NaN,NaN,NaN,40874432902622.6,-100084447740086.17,4283194036372.397,4283194036372.397,0,71120150594767.05,14892255557482.037,1626015233752.8696,38302420087266.45,48146950175224.51,82186487955183.39,56227895037285,56227895037285,56227895037285,75022063057390.73,75022063057390.73,68942521812738.58,7164424897792.667,153306638549950.94,21343906654177.402,39928435321019.305,13115.69672328,14092.29804595,22393923719463.42,-321169698666.42944,355818711800.567,-915533539352.0212,-443773898987.2245,-5545174755813.337,-6214167240172.456,-4926823136804.112,-1287344103368.3425,26653087026.258907,-12171132190541.479,0,0,0,0,17467100578994.396
2018-01-02T07:00:00Z,25225,32673,22577,30377,511723337,NaN,56368368073176.56,-30870663680781.58,-8218235953630.604,25497704392394.98,-4718166633684.241,20779537758710.7,-2357776344608.1216,-1629793294239.4004,18421761413235.28,857373216536.5256,-9157948366267.443,4842328913518.028,909.70255939,907.27209502,28997773702725.555,20779537753981.824,5323000000,153501497856914.88,48150398861655.77,21778015585335.87,21753344159787.574,4388772478082.0337,4243485194297.931,5159069209088.307,NaN,0,NaN,NaN,105351098995259.08,5005558116788.123,89865667559477.94,170408277531225.38,17167200277319.664,17167200277319.664,10353774921746.305,124778475979747.9,NaN,NaN,NaN,NaN,NaN,18108826352410.97,-80542609971747.11,338546783912.01166,338546783912.01166,0,70345087411806.414,19173809555243.438,3750056683333.054,32989807862259.984,52836274076246.414,83156410445108.34,51171277856562.98,51171277856562.98,51171277856562.98,76196327170998.2,76196327170998.2,69990093010862.18,6960083274110.106,153501497856914.88,14961848960257.162,36739864545593.03,14112.82589572,14313.13631822,24127998400123.22,-154222621267.24066,-865215044736.5555,-237868788734.21948,9148799566.700737,-7738577462062.151,-7649703409128.495,-6507410434657.571,-1142292974470.9248,-471816663368.4251,-14234225154419.65,0,0,0,0,17620587960553.695
2019-01-02T07:00:00Z,29799,36900,28000,32978,420062192,NaN,61281346323070.33,-33096742293657.855,-8429506001628.986,28184604029412.473,-5800474254568.073,22384129774844.34,-2112911302578.165,-1884600652366.8218,20271218470759.156,552096666882.7914,-7650482383947.242,12198707306362.67,2354.95005228,2349.11166027,30813635779706.81,22384129779623.508,5180000000,142227012771332.12,32958943194141.92,22037494726310.246,22016342792544.246,5056722298985.7,4881866313186.9795,5414895044089.545,NaN,NaN,NaN,NaN,109268069577190.19,5901389520706.96,93659352586818.62,182957176431093,18084903369908.457,18084903369908.457,15721527303790.184,129858772033907.38,NaN,NaN,NaN,NaN,NaN,19291973723486.766,-89297823844274.55,348301842679.71796,348301842679.71796,0,69148491738807.016,17399580715890.877,2342224132352.2715,32668456637089.137,50494286659535.47,73078521032525.1,51748911022916.14,51748911022916.14,51748911022916.14,66614490073643.19,66614490073643.19,60380310128351.6,6464030958881.892,142227012771332.12,12973186043131.156,35010680769441.406,12985.18728043,13173.42118013,24728119132487.086,509201938378.11273,-291960894015.712,412342874012.7116,-172962614938.21777,3607308297151.467,-9856101649639.398,-8648130746910.888,-1207970902728.5103,-298879398613.24243,-28404612475613.86,0,0,0,0,16079988387612.857
2020-01-02T07:00:00Z,33178,42354,19505,38906,473098885,NaN,76609757267082.08,-40156282587900.41,-10824690493632.12,36453474679181.68,-8401358859877.998,28052115819303.797,-3936575537369.635,-2146736344187.1843,24115540278757.77,-7137942956.565851,-8519134918661.341,14197368540609.426,2807.40896291,2800.82947199,38876806312008.15,28052115816166.7,5057000000,183711444818991.78,37305935060090.84,23390270494105.664,23327720372445.617,6480887605334.573,5844961368457.248,7125501359109.1455,NaN,NaN,NaN,NaN,146405509758900.94,9337343161144.24,122045712379065.22,240943068634573.1,24206897082445.383,24206897082445.383,23932371548492.895,168937453583560.47,NaN,NaN,NaN,NaN,NaN,23866346420073.91,-118897356255508.14,2079791545197.1777,2079791545197.1777,0,93057205996383.2,25756750096911.52,8708366937784.693,38287624469478.01,53539385513638.76,90654238822609.06,67300455899471.695,67300455899471.695,67300455899471.695,83165599257195.6,83165599257195.6,75400696654450.3,7488639565413.418,183711444818991.78,23605720913157.03,46995991407262.7,15902.6687007,16443.39193627,28027133018955.816,16060371652.273188,519285350090.1659,-1275907303486.1409,2119969058100.0625,-13590643389301.408,-13633471047040.76,-12312951600076.047,-1320519446964.6765,672751123656.3308,-17402304928107.518,0,0,0,0,15714181418639.797
2021-01-04T07:00:00Z,38907,51529,35840,47438,351683444,707152588.4,81800023764719.47,-32883261780086.652,-7327670300527.133,48916761984632.82,-2493333589216.4272,46423428395416.445,-11621664975895.688,-1037571672284.8767,34801763417898.73,107780990888.31827,-15256039990271.771,16244750946687.303,3212.30120721,3205.33332432,53751098693869.375,46423428395781.984,5057000000,155534840294995.62,38114438954476.945,21773763893785.64,21769480249502.004,9049912489921.514,8651533571542.2,6319803199809.497,NaN,NaN,NaN,NaN,117420401340518.69,5267454587459.837,102988803748906.47,212511592911804.9,20768535368556.09,20768535368556.09,15959430719446.598,154281160401313.78,NaN,NaN,NaN,NaN,NaN,21502466422487.906,-109522789162898.31,1709174069175.7688,1709174069175.7688,NaN,76137493497569.38,23421539061562.38,3752472392476.1333,26208763608789.715,48113131515867.53,79397346797426.06,52715954436006.99,52715954436006.99,52715954436006.99,73198913518986.53,73198913518986.53,68626837186905.56,6198433278439.461,155534840294995.62,8187472107480.203,29961236001265.86,14068.91157882,14474.65110811,39137433411366.12,-1665575579194.1438,-3433183829762.5605,-582017350796.9181,698420820956.3027,-11273891646918.08,-8340811614877.329,-8064892278203.231,-275919336674.0948,-2361122240393.4287,-25755345582672.543,0,0,0,0,31072541134449.55
